PLU,NAME,PRICE,QTY,TOTAL SALES
11121,Clover Club*,8.5,2,14.17
11115,Corona*,4,3,10
,Crate PALE ALE*,,1,3.33
10000000155,Espresso Martini*,,8,56.67
,Grind Mary*,,2,14.17
,Guest 40 Feet*,,17,63.75
10000000151,HFWR*,,2,14.17
11127,Old St Fshd*,8.5,1,7.08
11116,Peroni*,4,4,13.33
,Shapeshifter IPA*,,18,67.5
1E+11,White Wine*,,2,10.83
,Work*,,2,7.92
11178,Baby Cino*,0,1,0
99001,Beetroot Latte*,3,1,2.5
11180,Cappucci*,2.9,84,217.96
,Cortado*,,3,6.5
11206,Earl     Grey*,2.75,2,4.58
11207,English Breakfast*,2.75,8,18.75
11181,Espresso*,2.2,29,53.17
,Filter coffee*,,24,50.79
11185,Flat White*,2.8,126,298.97
11208,Fresh Mint*,2.75,5,11.46
11209,Green*,2.75,4,9.17
11188,Hot Choc*,2.9,9,22.25
,Iced Black*,,5,15
11189,Iced Coffee*,3.2,24,77.79
,Iced Tea*,,1,2.29
11210,Jasmine*,2.75,1,2.29
11191,Latte*,2.9,90,232.19
11211,Lemongrass Ginger*,2.75,3,6.88
11192,Long Black*,2.5,57,120.4
11182,Macch*,2.5,12,25
99003,Matcha Latte*,3,3,7.5
11196,Mocha*,3,9,23.42
11197,Piccolo*,2.6,3,6.5
11199,Short Black*,2.3,6,11.5
20010,Staff Coffee*,0,10,0
11226,Almond Croissant*,2.8,9,25.2
1E+11,Banana Bread*,,6,25
,Breakfast Focaccia*,,7,40.83
1E+11,C & Tom(Cold)*,,2,5
1E+11,C & Tom(Hot)*,,8,19.67
,Cookie*,,15,15
,DEL Avocado side*,,4,10
,DEL Bacon side*,,8,20
,DEL Banana Bread*,,4,16.67
,DEL Beans side*,,1,2.5
,DEL Feta cheese side*,,2,5
,DEL Fried eggs side*,,2,5
,DEL Mushroom side*,,1,2.5
,DEL Porridge*,,1,4.58
,DEL Sausages side*,,6,15
,DEL Scrambled eggs side*,,4,10
,DEL Smashed Avo*,,16,106.67
,"DEL Smoked Salmon, eggs*",,10,75
,DEL Smoked salmon side*,,1,3.33
,DEL The Grind*,,10,91.67
,DEL Toast side*,,2,5
,"DEL Toast, Jam*",,2,5.83
,DEL White pudding side*,,1,2.08
,"DEL Yoghurt, seeds*",,3,13.75
,Energy ball*,,12,25
1E+11,Ham & C (Cold)*,,2,5.2
1E+11,Ham & C (Hot)*,,17,45.14
11250,House Tart*,3.2,0,0
1E+11,Meat Foccacia*,,7,31.5
11245,Muffin*,2.2,9,19.8
11227,Pain au Choc*,2.2,7,15.4
11228,Pain au Raisin*,2.2,8,17.6
11247,Pastel De Nata*,1.8,10,18
11229,Plain Croissant <S>*,1.8,10,18
1E+11,Porridge*,,8,30
,Prosciutto cotto side*,,1,1.67
,Protein Pot*,,5,12.5
1E+11,Quinoa Eggs*,,2,10.83
1E+11,Raw Breakfast Salad*,,2,12.5
,Salmon Muf/Toast*,,3,11.25
1E+11,"Seeds, Yoghurt*",,4,15
1E+11,Smashed Avocado*,,60,392.92
1E+11,"Smoked Salmon, Eggs*",,12,80
,Smoothie Bowl*,,8,43.33
1E+11,"Sourdough, Jam*",,12,25
1E+11,The Grind*,,8,66.67
,Amber Juice*,,13,51.46
,Amber Smoothie*,,11,55
,DEL Amber Juice*,,4,16.67
,DEL Amber Smoothie*,,4,18.33
,DEL Green Juice*,,2,8.33
,DEL Green Smoothie*,,4,18.33
,DEL Orange Juice*,,8,26.67
,DEL Red Juice*,,2,8.33
,DEL Red Smoothie*,,9,41.25
,Green Juice*,,9,35.62
,Green Smoothie*,,4,21
,Orange Juice*,,16,46.67
,Red Juice*,,3,11.88
,Red Smoothie*,,5,25
22222222,Tin Refill*,10,1,10
11286,Coke*,1.6,4,5.33
,Cold Brew Bottle*,,7,23.04
,DEL Coke*,,2,3.33
,DEL Diet Coke*,,1,1.67
,DEL Sparkling*,,1,2.08
1E+11,Detox*,,2,6.25
11287,Diet Coke*,1.6,1,1.33
,Garden*,,1,4.79
,Greenhou*,,2,9.58
,Grove*,,2,9.58
1E+11,Immunity*,,1,3.12
11288,Limonata*,1.85,1,1.54
1E+11,Orchard*,,4,19.17
11290,Sparkling*,1.6,2,2.67
11291,Still*,,3,4
20012,Vita Coco*,,2,4
