PLU,NAME,GRS_SLS,SLS_CNT,VAT,PRICE,NET_SLS,RVC_NUM,MAJ_GRP_NUM
11121,Clover Club*,14.17,2,2.83,,11.34,,
11115,Corona*,10,3,2,,8,,
,Crate PALE ALE*,3.33,1,0.67,,2.66,,
10000000155,Espresso Martini*,56.67,8,11.33,,45.34,,
,Grind Mary*,14.17,2,2.83,,11.34,,
,Guest 40 Feet*,63.75,17,12.75,,51,,
10000000151,HFWR*,14.17,2,2.83,,11.34,,
11127,Old St Fshd*,7.08,1,1.42,,5.66,,
11116,Peroni*,13.33,4,2.67,,10.66,,
,Shapeshifter IPA*,67.5,18,13.5,,54,,
1E+11,White Wine*,10.83,2,2.17,,8.66,,
,Work*,7.92,2,1.58,,6.34,,
11178,Baby Cino*,0,1,0,,0,,
99001,Beetroot Latte*,2.5,1,0.5,,2,,
11180,Cappucci*,217.96,84,40.57,,177.39,,
,Cortado*,6.5,3,1.3,,5.2,,
11206,Earl     Grey*,4.58,2,0.92,,3.66,,
11207,English Breakfast*,18.75,8,3.75,,15,,
11181,Espresso*,53.17,29,10.63,,42.54,,
,Filter coffee*,50.79,24,10.16,,40.63,,
11185,Flat White*,298.97,126,57.1,,241.87,,
11208,Fresh Mint*,11.46,5,2.29,,9.17,,
11209,Green*,9.17,4,1.83,,7.34,,
11188,Hot Choc*,22.25,9,4.45,,17.8,,
,Iced Black*,15,5,0,,15,,
11189,Iced Coffee*,77.79,24,0,,77.79,,
,Iced Tea*,2.29,1,0.46,,1.83,,
11210,Jasmine*,2.29,1,0.46,,1.83,,
11191,Latte*,232.19,90,45.81,,186.38,,
11211,Lemongrass Ginger*,6.88,3,1.37,,5.51,,
11192,Long Black*,120.4,57,22.18,,98.22,,
11182,Macch*,25,12,5,,20,,
99003,Matcha Latte*,7.5,3,1.5,,6,,
11196,Mocha*,23.42,9,4.68,,18.74,,
11197,Piccolo*,6.5,3,1.3,,5.2,,
11199,Short Black*,11.5,6,2.3,,9.2,,
20010,Staff Coffee*,0,10,0,,0,,
11226,Almond Croissant*,25.2,9,0,,25.2,,
1E+11,Banana Bread*,25,6,5,,20,,
,Breakfast Focaccia*,40.83,7,8.17,,32.66,,
1E+11,C & Tom(Cold)*,5,2,0,,5,,
1E+11,C & Tom(Hot)*,19.67,8,3.93,,15.74,,
,Cookie*,15,15,3,,12,,
,DEL Avocado side*,10,4,2,,8,,
,DEL Bacon side*,20,8,4,,16,,
,DEL Banana Bread*,16.67,4,3.33,,13.34,,
,DEL Beans side*,2.5,1,0.5,,2,,
,DEL Feta cheese side*,5,2,1,,4,,
