Row Type,Class,Name,SKU,Barcode,Product Category,Product Subcategory,Qty,Voids,Comps,Weight,Total Sales,Tax,COGS
Product,Bar,Chilli Mojito*,,100000030462,Bar,Guest Cocktails,2,0,0,,14.17,2.83,0.00
Product,Bar,Cider*,100000010129,100000009703,Bar,Beers & Wines,7,0,0,,23.33,4.67,0.00
Product,Bar,Clover Club*,11121,1000000017,Bar,Classic Cocktails,5,0,0,,35.42,7.08,0.00
Product,Bar,Corona*,11115,1000000042,Bar,Beers & Wines,15,0,0,,50.00,10.00,21.00
Product,Bar,Drinki £5 Espresso Martini*,,100000018668,Bar,Coffee Cocktails,6,0,0,,25.00,5.00,0.00
Product,Bar,Espresso Martini*,10000000155,10000000081,Bar,Coffee Cocktails,9,0,0,,63.75,8.50,0.00
Product,Bar,Espresso Old Fashioned*,,100000013236,Bar,Coffee Cocktails,1,0,0,,7.08,1.42,0.00
Product,Bar,Gins*,100000010358,100000005231,Bar,Spirits,5,0,0,,35.83,7.17,0.00
Product,Bar,Indy*,,100000014912,Bar,Beers & Wines,8,0,0,,30.00,6.00,0.00
Product,Bar,Juicebox ipa*,,100000014929,Bar,Beers & Wines,6,0,0,,25.00,4.50,0.00
Product,Bar,Peroni*,11116,1000000041,Bar,Beers & Wines,6,0,0,,20.00,4.00,7.14
Product,Bar,Sparkling & Rose*,100000010433,100000005293,Bar,Beers & Wines,10,0,0,,54.17,10.83,0.00
Product,Bar,Strawberry Fields*,,100000030493,Bar,Guest Cocktails,2,0,0,,14.17,2.83,0.00
Product,Bar,Tommys Margarita*,,100000005682,Bar,Classic Cocktails,2,0,0,,14.17,2.83,4.58
Product,Coffee/Hot Drinks,Beetroot*,,100000030257,Drinks,Coffee,1,0,0,,2.50,0.50,0.00
Product,Coffee/Hot Drinks,Cappucci*,11180,1000000227,Drinks,Coffee,53,0,0,,142.67,28.53,0.00
Product,Coffee/Hot Drinks,Cortado*,,100000013595,Drinks,Coffee,2,0,0,,4.33,0.87,0.00
Product,Coffee/Hot Drinks,Earl     Grey*,11206,1000000230,Drinks,Tea,2,0,0,,4.58,0.92,0.00
Product,Coffee/Hot Drinks,English Breakfast*,11207,1000000102,Drinks,Tea,5,0,0,,11.46,2.29,0.00
Product,Coffee/Hot Drinks,Espresso*,11181,1000000095,Drinks,Coffee,14,0,0,,26.83,5.37,0.00
Product,Coffee/Hot Drinks,Filter Coffee*,,100000018705,Drinks,Coffee,8,0,0,,16.88,3.38,0.00
Product,Coffee/Hot Drinks,Flat White*,11185,1000000196,Drinks,Coffee,55,0,0,,142.08,28.42,0.00
Product,Coffee/Hot Drinks,Fresh Mint*,11208,1000000132,Drinks,Tea,1,0,0,,2.29,0.46,0.00
Product,Coffee/Hot Drinks,Hot Choc*,11188,1000000097,Drinks,Coffee,3,0,0,,8.00,1.60,0.00
Product,Coffee/Hot Drinks,Ice London Fog*,,100000028094,Drinks,Coffee,2,0,0,,5.17,1.03,0.00
Product,Coffee/Hot Drinks,Iced Black*,,100000010884,Drinks,Coffee,19,0,0,,61.00,2.20,0.00
Product,Coffee/Hot Drinks,Iced Coffee*,11189,1000000098,Drinks,Coffee,142,0,0,,452.55,23.05,0.00
Product,Coffee/Hot Drinks,Iced Filter*,100000029015,100000030172,Drinks,Coffee,6,0,0,,15.00,3.00,0.00
Product,Coffee/Hot Drinks,Iced Mocha*,,10000000050,Drinks,Coffee,5,1,0,,13.42,0.58,0.00
Product,Coffee/Hot Drinks,Iced Tea*,,100000010822,Drinks,Tea,12,0,0,,27.50,5.50,0.00
Product,Coffee/Hot Drinks,Jasmine*,11210,1000000134,Drinks,Tea,1,0,0,,2.29,0.46,0.00
Product,Coffee/Hot Drinks,Latte*,11191,1000000094,Drinks,Coffee,53,3,0,,137.83,26.35,0.00
Product,Coffee/Hot Drinks,Lemongrass Ginger*,11211,1000000103,Drinks,Tea,1,0,0,,2.29,0.46,0.00
Product,Coffee/Hot Drinks,Long Black*,11192,1000000096,Drinks,Coffee,29,0,0,,61.71,12.35,0.00
Product,Coffee/Hot Drinks,Macch*,11182,1000000163,Drinks,Coffee,5,0,0,,10.42,2.08,0.00
Product,Coffee/Hot Drinks,Matcha*,100000026359,100000027530,Drinks,Coffee,12,0,0,,30.00,6.00,0.00
Product,Coffee/Hot Drinks,Mocha*,11196,1000000099,Drinks,Coffee,4,0,0,,10.50,2.10,0.00
